,COD_MUNI__,perc_access,road_access,total_pop
160,107,17.0,12430.611328125,74939.9140625
161,913,37.0,6958.1494140625,18886.56640625
162,2007,23.0,13649.53125,59182.5546875
163,706,13.0,6766.79296875,52602.92578125
164,208,27.0,4978.34423828125,18655.455078125
165,207,14.0,1698.2928466796875,12398.423828125
166,704,25.0,6382.21337890625,25533.435546875
167,709,47.0,6649.5263671875,14080.1181640625
168,2003,10.0,1392.601318359375,14226.2578125
169,404,33.0,15015.7392578125,45625.484375
170,106,29.0,38476.5078125,130871.6875
171,708,20.0,1400.21826171875,7086.443359375
172,1222,19.0,4923.12548828125,25756.763671875
173,1217,27.0,10590.890625,39645.6484375
174,702,19.0,969.5924072265625,4997.12890625
175,916,30.0,4253.423828125,14053.87109375
176,919,13.0,3807.585205078125,29825.33203125
177,2002,12.0,1076.8052978515625,8814.6611328125
178,2006,18.0,4670.4267578125,25627.828125
179,2103,14.0,3726.932373046875,26517.291015625
180,105,24.0,14960.556640625,62959.33203125
181,710,54.0,9873.916015625,18427.4765625
182,714,2.0,178.14215087890625,7736.8583984375
183,716,30.0,1329.131103515625,4494.5498046875
184,2010,8.0,1093.1700439453125,12966.2802734375
185,401,39.0,50381.515625,129019.046875
186,0,47.0,388.3197326660156,835.026611328125
187,0,47.0,709.7120361328125,1503.66650390625
188,715,45.0,3453.601806640625,7649.6611328125
189,707,22.0,2255.5693359375,10053.2900390625
190,711,49.0,2869.27734375,5910.7607421875
191,415,30.0,7882.431640625,26516.947265625
192,703,24.0,673.1796875,2809.099609375
193,416,36.0,9240.67578125,25853.90234375
194,407,20.0,11267.7255859375,56453.1875
195,304,45.0,17682.67578125,39351.99609375
196,920,26.0,36059.4609375,138157.125
197,109,40.0,28682.984375,71477.7890625
198,410,27.0,2244.73486328125,8402.7958984375
199,2009,23.0,6583.333984375,28414.35546875
200,101,39.0,418935.09375,1068257.25
201,108,39.0,197288.03125,511696.5
202,717,15.0,1783.9559326171875,11969.267578125
203,1108,16.0,5189.37646484375,33186.2890625
204,305,23.0,2556.779296875,11291.47265625
205,712,32.0,4469.453125,13786.66015625
206,1019,31.0,22015.83203125,70634.796875
207,1003,14.0,3115.36572265625,21648.39453125
208,2011,28.0,5894.90234375,21058.947265625
209,409,31.0,11310.1474609375,35922.515625
210,718,26.0,3132.571044921875,11887.0908203125
211,922,9.0,2533.865234375,29439.5859375
212,1105,27.0,7062.189453125,25926.40625
213,2107,10.0,4617.6376953125,45196.7265625
214,921,17.0,7283.19482421875,43018.84375
215,719,23.0,10837.97265625,47684.7578125
216,306,44.0,13424.7001953125,30789.61328125
217,1109,20.0,8209.7197265625,42004.56640625
218,1018,29.0,2318.408935546875,7912.02197265625
219,413,32.0,11211.943359375,35569.6953125
220,713,24.0,7656.12548828125,31824.18359375
