,COD_MUNI__,perc_access,road_access,total_pop
61,1414,0.13227581753279505,3564.17138671875,26944.99609375
62,1205,0.3108927163626992,11964.49609375,38484.32421875
63,1416,0.12955987802733482,6466.666015625,49912.56640625
64,1303,0.397772592345755,44968.359375,113050.421875
65,1904,0.22227377984088056,9429.2861328125,42421.9453125
66,1508,0.14244639158606284,7713.3291015625,54148.99609375
67,1502,0.18188211794137207,5414.212890625,29767.703125
68,1224,0.200614040902524,4167.1630859375,20772.041015625
69,1503,0.19548049815698362,7409.87841796875,37905.97265625
70,1418,0.2922605872389541,3800.63916015625,13004.2822265625
71,805,0.2400875575133311,32334.189453125,134676.65625
72,1226,0.1464467341976945,2860.526611328125,19532.880859375
73,1501,0.23647446283534646,14052.9189453125,59426.79296875
74,1409,0.15091415410219147,4606.98291015625,30527.17578125
75,1210,0.6816192654360469,23815.66796875,34939.83984375
76,1417,0.038550602104226936,351.53277587890625,9118.736328125
77,904,0.21110881792454542,7904.34130859375,37442.0234375
78,1903,0.23151571313097494,4359.46484375,18830.103515625
79,807,0.20557057228177958,4727.87744140625,22998.8046875
80,1204,0.6203497576063906,40295.9453125,64956.81640625
81,1223,0.3820834971068391,11515.0078125,30137.412109375
82,1905,0.26647391571741663,4838.08740234375,18155.951171875
83,1208,0.3594252821581391,6193.56591796875,17231.859375
84,1404,0.06289004147575723,3054.8876953125,48575.0625
85,203,0.2398021060281042,10044.0166015625,41884.60546875
86,906,0.04543436018253884,1213.6326904296875,26711.78125
87,808,0.11164485905290318,2147.338623046875,19233.654296875
88,1209,0.14453919904206547,8605.234375,59535.64453125
89,1507,0.22801229266343326,5456.12841796875,23929.09765625
90,806,0.1776973542086108,9086.740234375,51136.046875
91,1408,0.4461309919446708,10231.962890625,22934.884765625
92,202,0.11466411201194814,1467.713623046875,12800.11328125
93,1401,0.4846428918394374,51834.48828125,106953.984375
94,1412,0.17395137688296436,14522.595703125,83486.5234375
95,204,0.17105266725308688,1263.0386962890625,7383.9169921875
96,1403,0.10837871688950446,1225.708251953125,11309.4921875
97,1228,0.4656128826544107,2793.5986328125,5999.8310546875
98,1906,0.24517091323710652,2814.206298828125,11478.548828125
99,915,0.19912035542261758,3049.256591796875,15313.6357421875
100,1201,0.5431402346513822,29716.369140625,54712.1484375
101,1402,0.17637734680237357,5114.96923828125,29000.1484375
102,1229,0.5293736285886445,6750.40087890625,12751.67578125
103,1909,0.11101656483327599,3487.222412109375,31411.73046875
104,1219,0.2891639197810973,15911.08203125,55024.4375
105,1506,0.11251190520567583,1093.5386962890625,9719.3154296875
106,1215,0.32864442799117133,7324.8173828125,22287.970703125
107,905,0.5496416885160416,4702.0,8554.6640625
108,803,0.6482366489297934,43933.0234375,67773.125
109,1505,0.16047474241114495,1926.0303955078125,12002.078125
110,1202,0.6975065567396616,30399.357421875,43582.8984375
111,1203,0.4473902284581083,9423.68359375,21063.677734375
112,1407,0.31442765008723594,1988.545166015625,6324.3330078125
113,1406,0.2179410441405685,33907.8125,155582.5
114,2005,0.1392341378898833,7528.970703125,54074.171875
115,1421,0.33284582634470755,2993.14697265625,8992.5927734375
116,1211,0.45663311443897864,7534.91015625,16501.015625
117,1907,0.1892209297102781,2246.259765625,11871.095703125
118,924,0.35206911418740156,4820.615234375,13692.2412109375
119,802,0.72081383115428,28912.228515625,40110.53515625
120,1227,0.41815535050011865,5345.8115234375,12784.271484375
121,801,0.533777654359378,75205.96875,140893.8125
122,205,0.24039762717112967,2786.850341796875,11592.669921875
123,907,0.6376098561172534,6639.65185546875,10413.345703125
124,918,0.6177337286019541,4998.17529296875,8091.1484375
125,406,0.3817808548517856,34476.69921875,90304.9453125
126,403,0.3887149561082233,31010.5859375,79777.1875
127,1214,0.2844616717373049,5148.6884765625,18099.76171875
128,804,0.731212821379752,26340.896484375,36023.5703125
129,402,0.206867219151864,5258.60107421875,25420.17578125
130,201,0.20551036866746616,4896.9560546875,23828.267578125
131,909,0.4041478065628976,22256.70703125,55070.7109375
132,2004,0.18311534837020266,11003.7138671875,60091.70703125
133,112,0.43591075273330465,5892.51171875,13517.7021484375
134,908,0.3616377709241691,3736.44921875,10332.021484375
135,903,0.8006469997485671,27900.26171875,34847.14453125
136,1225,0.37114457183813077,6501.208984375,17516.6484375
137,1213,0.13530186644551753,5924.38671875,43786.4375
